country,year,sex,age,suicides_no,population,gdp_for_year ($),gdp_per_capita ($),generation
Albania,1993,female,15-24 years,5-10,1e5-1e6,1e8-1e9,0-500,Generation X
Albania,1993,male,35-54 years,5-10,1e5-1e6,1e8-1e9,0-500,Boomers
Albania,1993,female,25-34 years,5-10,1e5-1e6,1e8-1e9,0-500,Boomers
Albania,1993,female,35-54 years,5-10,1e5-1e6,1e8-1e9,0-500,Boomers
Albania,1993,female,55-74 years,0-5,1e5-1e6,1e8-1e9,0-500,Silent
Albania,1993,female,5-14 years,0-5,1e5-1e6,1e8-1e9,0-500,Millenials
Albania,1993,male,5-14 years,0-5,1e5-1e6,1e8-1e9,0-500,Millenials
Albania,1993,female,75+ years,0-5,1e4-1e5,1e8-1e9,0-500,G.I. Generation
Albania,1994,male,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1994,male,55-74 years,10-15,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1994,female,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1994,male,25-34 years,5-10,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1994,male,35-54 years,5-10,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1994,male,15-24 years,5-10,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1994,female,15-24 years,5-10,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1994,female,25-34 years,0-5,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1994,female,35-54 years,0-5,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1994,female,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1994,male,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1994,female,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1995,male,25-34 years,10-15,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1995,male,55-74 years,5-10,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1995,female,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1995,female,15-24 years,10-15,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1995,male,15-24 years,10-15,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1995,male,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1995,male,35-54 years,10-15,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1995,female,25-34 years,5-10,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1995,female,35-54 years,5-10,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1995,male,5-14 years,5-10,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1995,female,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1995,female,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1996,male,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,G.I. Generation
Albania,1996,male,15-24 years,15-20,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1996,male,25-34 years,10-15,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1996,female,15-24 years,15-20,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1996,female,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,G.I. Generation
Albania,1996,female,25-34 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1996,male,35-54 years,10-15,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,1996,female,35-54 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,1996,male,55-74 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,1996,female,55-74 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,1996,male,5-14 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,1996,female,5-14 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,1997,male,25-34 years,35-40,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1997,male,15-24 years,30-35,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1997,male,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1997,male,35-54 years,25-30,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1997,female,15-24 years,20-25,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1997,male,55-74 years,10-15,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1997,female,25-34 years,15-20,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1997,female,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1997,female,35-54 years,5-10,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1997,female,5-14 years,5-10,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1997,male,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1997,female,55-74 years,0-5,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1998,male,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1998,male,15-24 years,25-30,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1998,female,15-24 years,30-35,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1998,male,25-34 years,25-30,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1998,male,35-54 years,25-30,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1998,male,55-74 years,5-10,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1998,female,25-34 years,5-10,1e5-1e6,1e8-1e9,500-1000,Generation X
Albania,1998,female,55-74 years,5-10,1e5-1e6,1e8-1e9,500-1000,Silent
Albania,1998,female,35-54 years,5-10,1e5-1e6,1e8-1e9,500-1000,Boomers
Albania,1998,male,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1998,female,5-14 years,0-5,1e5-1e6,1e8-1e9,500-1000,Millenials
Albania,1998,female,75+ years,0-5,1e4-1e5,1e8-1e9,500-1000,G.I. Generation
Albania,1999,male,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,G.I. Generation
Albania,1999,male,15-24 years,20-25,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1999,female,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,G.I. Generation
Albania,1999,male,35-54 years,30-35,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,1999,male,25-34 years,15-20,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1999,male,55-74 years,10-15,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,1999,female,15-24 years,15-20,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1999,female,25-34 years,10-15,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,1999,female,55-74 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,1999,female,35-54 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,1999,female,5-14 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,1999,male,5-14 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,2000,male,25-34 years,15-20,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,2000,male,55-74 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,2000,female,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,G.I. Generation
Albania,2000,male,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,G.I. Generation
Albania,2000,female,15-24 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,2000,male,15-24 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,2000,female,35-54 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,2000,female,25-34 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,2000,male,35-54 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,2000,male,5-14 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,2000,female,5-14 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,2000,female,55-74 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,2001,male,25-34 years,20-25,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,2001,male,35-54 years,30-35,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,2001,male,55-74 years,10-15,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,2001,female,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,Silent
Albania,2001,male,15-24 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,2001,female,15-24 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,2001,female,35-54 years,10-15,1e5-1e6,1e8-1e9,1000-1500,Boomers
Albania,2001,male,75+ years,0-5,1e4-1e5,1e8-1e9,1000-1500,Silent
Albania,2001,female,55-74 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Silent
Albania,2001,male,5-14 years,5-10,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,2001,female,25-34 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Generation X
Albania,2001,female,5-14 years,0-5,1e5-1e6,1e8-1e9,1000-1500,Millenials
Albania,2002,male,75+ years,0-5,1e4-1e5,1e8-1e9,1500-2000,Silent
Albania,2002,male,25-34 years,20-25,1e5-1e6,1e8-1e9,1500-2000,Generation X
Albania,2002,male,35-54 years,30-35,1e5-1e6,1e8-1e9,1500-2000,Boomers
Albania,2002,male,55-74 years,10-15,1e5-1e6,1e8-1e9,1500-2000,Silent
Albania,2002,male,15-24 years,10-15,1e5-1e6,1e8-1e9,1500-2000,Millenials
Albania,2002,female,15-24 years,10-15,1e5-1e6,1e8-1e9,1500-2000,Millenials
Albania,2002,female,35-54 years,10-15,1e5-1e6,1e8-1e9,1500-2000,Boomers
Albania,2002,female,25-34 years,5-10,1e5-1e6,1e8-1e9,1500-2000,Generation X
Albania,2002,female,75+ years,0-5,1e4-1e5,1e8-1e9,1500-2000,Silent
Albania,2002,female,55-74 years,0-5,1e5-1e6,1e8-1e9,1500-2000,Silent
Albania,2002,female,5-14 years,0-5,1e5-1e6,1e8-1e9,1500-2000,Millenials
Albania,2002,male,5-14 years,0-5,1e5-1e6,1e8-1e9,1500-2000,Millenials
Albania,2003,female,75+ years,5-10,1e4-1e5,1e8-1e9,2000-2500,Silent
Albania,2003,male,55-74 years,15-20,1e5-1e6,1e8-1e9,2000-2500,Silent
Albania,2003,male,35-54 years,25-30,1e5-1e6,1e8-1e9,2000-2500,Boomers
Albania,2003,male,15-24 years,10-15,1e5-1e6,1e8-1e9,2000-2500,Millenials
Albania,2003,female,15-24 years,10-15,1e5-1e6,1e8-1e9,2000-2500,Millenials
Albania,2003,female,55-74 years,5-10,1e5-1e6,1e8-1e9,2000-2500,Silent
Albania,2003,male,25-34 years,5-10,1e5-1e6,1e8-1e9,2000-2500,Generation X
Albania,2003,female,25-34 years,5-10,1e5-1e6,1e8-1e9,2000-2500,Generation X
Albania,2003,female,35-54 years,10-15,1e5-1e6,1e8-1e9,2000-2500,Boomers
Albania,2003,male,75+ years,0-5,1e4-1e5,1e8-1e9,2000-2500,Silent
Albania,2003,male,5-14 years,0-5,1e5-1e6,1e8-1e9,2000-2500,Millenials
Albania,2003,female,5-14 years,0-5,1e5-1e6,1e8-1e9,2000-2500,Millenials
Albania,2004,male,75+ years,0-5,1e4-1e5,1e8-1e9,2500-3000,Silent
Albania,2004,male,35-54 years,35-40,1e5-1e6,1e8-1e9,2500-3000,Boomers
Albania,2004,male,25-34 years,15-20,1e5-1e6,1e8-1e9,2500-3000,Generation X
Albania,2004,female,15-24 years,15-20,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2004,male,15-24 years,15-20,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2004,female,75+ years,0-5,1e4-1e5,1e8-1e9,2500-3000,Silent
Albania,2004,female,25-34 years,10-15,1e5-1e6,1e8-1e9,2500-3000,Generation X
Albania,2004,male,55-74 years,5-10,1e5-1e6,1e8-1e9,2500-3000,Silent
Albania,2004,female,35-54 years,15-20,1e5-1e6,1e8-1e9,2500-3000,Boomers
Albania,2004,female,55-74 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Silent
Albania,2004,female,5-14 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2004,male,5-14 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2005,female,15-24 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2005,female,25-34 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Generation X
Albania,2005,female,35-54 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Boomers
Albania,2005,female,5-14 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2005,female,55-74 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Silent
Albania,2005,female,75+ years,0-5,1e4-1e5,1e8-1e9,2500-3000,Silent
Albania,2005,male,15-24 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2005,male,25-34 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Generation X
Albania,2005,male,35-54 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Boomers
Albania,2005,male,5-14 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Millenials
Albania,2005,male,55-74 years,0-5,1e5-1e6,1e8-1e9,2500-3000,Silent
Albania,2005,male,75+ years,0-5,1e4-1e5,1e8-1e9,2500-3000,Silent
Albania,2006,female,15-24 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Millenials
Albania,2006,female,25-34 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Generation X
Albania,2006,female,35-54 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Boomers
Albania,2006,female,5-14 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Millenials
Albania,2006,female,55-74 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Silent
Albania,2006,female,75+ years,0-5,1e4-1e5,1e8-1e9,3000-3500,Silent
Albania,2006,male,15-24 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Millenials
Albania,2006,male,25-34 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Generation X
Albania,2006,male,35-54 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Boomers
Albania,2006,male,5-14 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Millenials
Albania,2006,male,55-74 years,0-5,1e5-1e6,1e8-1e9,3000-3500,Silent
Albania,2006,male,75+ years,0-5,1e4-1e5,1e8-1e9,3000-3500,Silent
Albania,2007,male,75+ years,5-10,1e4-1e5,1e9-1e10,3500-4000,Silent
Albania,2007,male,35-54 years,25-30,1e5-1e6,1e9-1e10,3500-4000,Boomers
Albania,2007,male,55-74 years,10-15,1e5-1e6,1e9-1e10,3500-4000,Silent
Albania,2007,female,75+ years,0-5,1e4-1e5,1e9-1e10,3500-4000,Silent
Albania,2007,male,25-34 years,5-10,1e5-1e6,1e9-1e10,3500-4000,Generation X
Albania,2007,female,15-24 years,10-15,1e5-1e6,1e9-1e10,3500-4000,Millenials
Albania,2007,male,15-24 years,10-15,1e5-1e6,1e9-1e10,3500-4000,Millenials
Albania,2007,female,25-34 years,5-10,1e5-1e6,1e9-1e10,3500-4000,Generation X
Albania,2007,female,55-74 years,5-10,1e5-1e6,1e9-1e10,3500-4000,Silent
Albania,2007,female,35-54 years,10-15,1e5-1e6,1e9-1e10,3500-4000,Boomers
Albania,2007,male,5-14 years,0-5,1e5-1e6,1e9-1e10,3500-4000,Generation Z
Albania,2007,female,5-14 years,0-5,1e5-1e6,1e9-1e10,3500-4000,Generation Z
Albania,2008,male,25-34 years,20-25,1e5-1e6,1e9-1e10,4500-5000,Generation X
Albania,2008,male,35-54 years,35-40,1e5-1e6,1e9-1e10,4500-5000,Boomers
Albania,2008,male,55-74 years,20-25,1e5-1e6,1e9-1e10,4500-5000,Silent
Albania,2008,female,75+ years,0-5,1e4-1e5,1e9-1e10,4500-5000,Silent
Albania,2008,female,15-24 years,15-20,1e5-1e6,1e9-1e10,4500-5000,Millenials
Albania,2008,female,25-34 years,5-10,1e5-1e6,1e9-1e10,4500-5000,Generation X
Albania,2008,female,35-54 years,15-20,1e5-1e6,1e9-1e10,4500-5000,Boomers
Albania,2008,male,75+ years,0-5,1e4-1e5,1e9-1e10,4500-5000,Silent
Albania,2008,male,15-24 years,10-15,1e5-1e6,1e9-1e10,4500-5000,Millenials
Albania,2008,female,55-74 years,5-10,1e5-1e6,1e9-1e10,4500-5000,Silent
Albania,2008,male,5-14 years,5-10,1e5-1e6,1e9-1e10,4500-5000,Generation Z
Albania,2008,female,5-14 years,0-5,1e5-1e6,1e9-1e10,4500-5000,Generation Z
Albania,2009,female,15-24 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Millenials
Albania,2009,female,25-34 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Generation X
Albania,2009,female,35-54 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Boomers
Albania,2009,female,5-14 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Generation Z
Albania,2009,female,55-74 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Silent
Albania,2009,female,75+ years,0-5,1e4-1e5,1e9-1e10,4000-4500,Silent
Albania,2009,male,15-24 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Millenials
Albania,2009,male,25-34 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Generation X
Albania,2009,male,35-54 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Boomers
Albania,2009,male,5-14 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Generation Z
Albania,2009,male,55-74 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Silent
Albania,2009,male,75+ years,0-5,1e4-1e5,1e9-1e10,4000-4500,Silent
Albania,2010,male,55-74 years,15-20,1e5-1e6,1e9-1e10,4000-4500,Silent
Albania,2010,male,35-54 years,15-20,1e5-1e6,1e9-1e10,4000-4500,Generation X
Albania,2010,male,25-34 years,5-10,1e5-1e6,1e9-1e10,4000-4500,Generation X
Albania,2010,male,75+ years,0-5,1e4-1e5,1e9-1e10,4000-4500,Silent
Albania,2010,male,15-24 years,5-10,1e5-1e6,1e9-1e10,4000-4500,Millenials
Albania,2010,female,25-34 years,5-10,1e5-1e6,1e9-1e10,4000-4500,Generation X
Albania,2010,female,75+ years,0-5,1e4-1e5,1e9-1e10,4000-4500,Silent
Albania,2010,female,35-54 years,10-15,1e5-1e6,1e9-1e10,4000-4500,Generation X
Albania,2010,female,55-74 years,5-10,1e5-1e6,1e9-1e10,4000-4500,Silent
Albania,2010,female,15-24 years,5-10,1e5-1e6,1e9-1e10,4000-4500,Millenials
Albania,2010,female,5-14 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Generation Z
Albania,2010,male,5-14 years,0-5,1e5-1e6,1e9-1e10,4000-4500,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Generation X
Antigua and Barbuda,1985,female,25-34 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Boomers
Antigua and Barbuda,1985,female,35-54 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Silent
Antigua and Barbuda,1985,female,5-14 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Generation X
Antigua and Barbuda,1985,female,55-74 years,0-5,1e3-1e4,1e7-1e8,3500-4000,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0-5,1e2-1e3,1e7-1e8,3500-4000,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Generation X
Antigua and Barbuda,1985,male,25-34 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Boomers
Antigua and Barbuda,1985,male,35-54 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Silent
Antigua and Barbuda,1985,male,5-14 years,0-5,1e3-1e4,1e7-1e8,3500-4000,Generation X
Antigua and Barbuda,1985,male,55-74 years,0-5,1e3-1e4,1e7-1e8,3500-4000,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0-5,1e2-1e3,1e7-1e8,3500-4000,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Generation X
Antigua and Barbuda,1986,female,25-34 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Boomers
Antigua and Barbuda,1986,female,35-54 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Silent
Antigua and Barbuda,1986,female,5-14 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Generation X
Antigua and Barbuda,1986,female,55-74 years,0-5,1e3-1e4,1e7-1e8,4500-5000,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0-5,1e3-1e4,1e7-1e8,4500-5000,G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Generation X
Antigua and Barbuda,1986,male,25-34 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Boomers
Antigua and Barbuda,1986,male,35-54 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Silent
Antigua and Barbuda,1986,male,5-14 years,0-5,1e3-1e4,1e7-1e8,4500-5000,Generation X
Antigua and Barbuda,1986,male,55-74 years,0-5,1e3-1e4,1e7-1e8,4500-5000,G.I. Generation
Antigua and Barbuda,1986,male,75+ years,0-5,1e2-1e3,1e7-1e8,4500-5000,G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Generation X
Antigua and Barbuda,1987,female,25-34 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Boomers
Antigua and Barbuda,1987,female,35-54 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Silent
Antigua and Barbuda,1987,female,5-14 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Generation X
Antigua and Barbuda,1987,female,55-74 years,0-5,1e3-1e4,1e7-1e8,5500-6000,G.I. Generation
Antigua and Barbuda,1987,female,75+ years,0-5,1e3-1e4,1e7-1e8,5500-6000,G.I. Generation
Antigua and Barbuda,1987,male,15-24 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Generation X
Antigua and Barbuda,1987,male,25-34 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Boomers
Antigua and Barbuda,1987,male,35-54 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Silent
Antigua and Barbuda,1987,male,5-14 years,0-5,1e3-1e4,1e7-1e8,5500-6000,Generation X
Antigua and Barbuda,1987,male,55-74 years,0-5,1e3-1e4,1e7-1e8,5500-6000,G.I. Generation
